                              List of relations
       Schema       |             Name              |    Type     |  Owner
--------------------+-------------------------------+-------------+----------
 demo_cdm           | attribute_definition          | table       | postgres
 demo_cdm           | care_site                     | table       | postgres
 demo_cdm           | cdm_source                    | table       | postgres
 demo_cdm           | cohort_definition             | table       | postgres
 demo_cdm           | concept                       | table       | postgres
 demo_cdm           | concept_ancestor              | table       | postgres
 demo_cdm           | concept_class                 | table       | postgres
 demo_cdm           | concept_recommended           | table       | postgres
 demo_cdm           | concept_relationship          | table       | postgres
 demo_cdm           | concept_synonym               | table       | postgres
 demo_cdm           | condition_era                 | table       | postgres
 demo_cdm           | condition_occurrence          | table       | postgres
 demo_cdm           | cost                          | table       | postgres
 demo_cdm           | death                         | table       | postgres
 demo_cdm           | device_exposure               | table       | postgres
 demo_cdm           | domain                        | table       | postgres
 demo_cdm           | dose_era                      | table       | postgres
 demo_cdm           | drug_era                      | table       | postgres
 demo_cdm           | drug_exposure                 | table       | postgres
 demo_cdm           | drug_strength                 | table       | postgres
 demo_cdm           | fact_relationship             | table       | postgres
 demo_cdm           | location                      | table       | postgres
 demo_cdm           | measurement                   | table       | postgres
 demo_cdm           | metadata                      | table       | postgres
 demo_cdm           | note                          | table       | postgres
 demo_cdm           | note_nlp                      | table       | postgres
 demo_cdm           | observation                   | table       | postgres
 demo_cdm           | observation_period            | table       | postgres
 demo_cdm           | payer_plan_period             | table       | postgres
 demo_cdm           | person                        | table       | postgres
 demo_cdm           | procedure_occurrence          | table       | postgres
 demo_cdm           | provider                      | table       | postgres
 demo_cdm           | relationship                  | table       | postgres
 demo_cdm           | source_to_concept_map         | table       | postgres
 demo_cdm           | specimen                      | table       | postgres
 demo_cdm           | visit_detail                  | table       | postgres
 demo_cdm           | visit_occurrence              | table       | postgres
 demo_cdm           | vocabulary                    | table       | postgres
 demo_cdm_results   | achilles_analysis             | table       | postgres
 demo_cdm_results   | achilles_heel_results         | table       | postgres
 demo_cdm_results   | achilles_result_concept_count | table       | postgres
 demo_cdm_results   | achilles_results              | table       | postgres
 demo_cdm_results   | achilles_results_derived      | table       | postgres
 demo_cdm_results   | achilles_results_dist         | table       | postgres
 demo_cdm_results   | cc_results                    | table       | postgres
 demo_cdm_results   | cohort                        | table       | postgres
 demo_cdm_results   | cohort_cache                  | table       | postgres
 demo_cdm_results   | cohort_censor_stats           | table       | postgres
 demo_cdm_results   | cohort_censor_stats_cache     | table       | postgres
 demo_cdm_results   | cohort_inclusion              | table       | postgres
 demo_cdm_results   | cohort_inclusion_result       | table       | postgres
 demo_cdm_results   | cohort_inclusion_result_cache | table       | postgres
 demo_cdm_results   | cohort_inclusion_stats        | table       | postgres
