                           List of relations
       Schema       |           Name           |    Type     |  Owner
--------------------+--------------------------+-------------+----------
 cdm_synthea        | care_site                | table       | postgres
 cdm_synthea        | cdm_source               | table       | postgres
 cdm_synthea        | cohort                   | table       | postgres
 cdm_synthea        | cohort_definition        | table       | postgres
 cdm_synthea        | concept                  | table       | postgres
 cdm_synthea        | concept_ancestor         | table       | postgres
 cdm_synthea        | concept_class            | table       | postgres
 cdm_synthea        | concept_relationship     | table       | postgres
 cdm_synthea        | concept_synonym          | table       | postgres
 cdm_synthea        | condition_era            | table       | postgres
 cdm_synthea        | condition_occurrence     | table       | postgres
 cdm_synthea        | cost                     | table       | postgres
 cdm_synthea        | death                    | table       | postgres
 cdm_synthea        | device_exposure          | table       | postgres
 cdm_synthea        | domain                   | table       | postgres
 cdm_synthea        | dose_era                 | table       | postgres
 cdm_synthea        | drug_era                 | table       | postgres
 cdm_synthea        | drug_exposure            | table       | postgres
 cdm_synthea        | drug_strength            | table       | postgres
 cdm_synthea        | episode                  | table       | postgres
 cdm_synthea        | episode_event            | table       | postgres
 cdm_synthea        | fact_relationship        | table       | postgres
 cdm_synthea        | location                 | table       | postgres
 cdm_synthea        | measurement              | table       | postgres
 cdm_synthea        | metadata                 | table       | postgres
 cdm_synthea        | note                     | table       | postgres
 cdm_synthea        | note_nlp                 | table       | postgres
 cdm_synthea        | observation              | table       | postgres
 cdm_synthea        | observation_period       | table       | postgres
 cdm_synthea        | payer_plan_period        | table       | postgres
 cdm_synthea        | person                   | table       | postgres
 cdm_synthea        | procedure_occurrence     | table       | postgres
 cdm_synthea        | provider                 | table       | postgres
 cdm_synthea        | relationship             | table       | postgres
 cdm_synthea        | source_to_concept_map    | table       | postgres
 cdm_synthea        | specimen                 | table       | postgres
 cdm_synthea        | states_map               | table       | postgres
 cdm_synthea        | visit_detail             | table       | postgres
 cdm_synthea        | visit_occurrence         | table       | postgres
 cdm_synthea        | vocabulary               | table       | postgres
 information_schema | sql_features             | table       | postgres
 information_schema | sql_implementation_info  | table       | postgres
 information_schema | sql_parts                | table       | postgres
 information_schema | sql_sizing               | table       | postgres
 native             | allergies                | table       | postgres
 native             | careplans                | table       | postgres
 native             | claims                   | table       | postgres
 native             | claims_transactions      | table       | postgres
 native             | conditions               | table       | postgres
 native             | devices                  | table       | postgres
 native             | encounters               | table       | postgres
 native             | imaging_studies          | table       | postgres
 native             | immunizations            | table       | postgres
 native             | medications              | table       | postgres
 native             | observations             | table       | postgres
 native             | organizations            | table       | postgres
 native             | patients                 | table       | postgres
 native             | payer_transitions        | table       | postgres
 native             | payers                   | table       | postgres
 native             | procedures               | table       | postgres
 native             | providers                | table       | postgres
 native             | supplies                 | table       | postgres
 native             | visit_detail_rollup      | table       | postgres
 native             | visit_occurrence_rollup  | table       | postgres
 pg_catalog         | pg_aggregate             | table       | postgres
 pg_catalog         | pg_am                    | table       | postgres
 pg_catalog         | pg_amop                  | table       | postgres
 pg_catalog         | pg_amproc                | table       | postgres
 pg_catalog         | pg_attrdef               | table       | postgres
 pg_catalog         | pg_attribute             | table       | postgres
 pg_catalog         | pg_auth_members          | table       | postgres
 pg_catalog         | pg_authid                | table       | postgres
 pg_catalog         | pg_cast                  | table       | postgres
 pg_catalog         | pg_class                 | table       | postgres
 pg_catalog         | pg_collation             | table       | postgres
 pg_catalog         | pg_constraint            | table       | postgres
 pg_catalog         | pg_conversion            | table       | postgres
 pg_catalog         | pg_database              | table       | postgres
 pg_catalog         | pg_db_role_setting       | table       | postgres
 pg_catalog         | pg_default_acl           | table       | postgres
 pg_catalog         | pg_depend                | table       | postgres
 pg_catalog         | pg_description           | table       | postgres
 pg_catalog         | pg_enum                  | table       | postgres
 pg_catalog         | pg_event_trigger         | table       | postgres
 pg_catalog         | pg_extension             | table       | postgres
 pg_catalog         | pg_foreign_data_wrapper  | table       | postgres
 pg_catalog         | pg_foreign_server        | table       | postgres
 pg_catalog         | pg_foreign_table         | table       | postgres
 pg_catalog         | pg_index                 | table       | postgres
 pg_catalog         | pg_inherits              | table       | postgres
 pg_catalog         | pg_init_privs            | table       | postgres
 pg_catalog         | pg_language              | table       | postgres
 pg_catalog         | pg_largeobject           | table       | postgres
 pg_catalog         | pg_largeobject_metadata  | table       | postgres
 pg_catalog         | pg_namespace             | table       | postgres
 pg_catalog         | pg_opclass               | table       | postgres
 pg_catalog         | pg_operator              | table       | postgres
 pg_catalog         | pg_opfamily              | table       | postgres
 pg_catalog         | pg_parameter_acl         | table       | postgres
 pg_catalog         | pg_partitioned_table     | table       | postgres
 pg_catalog         | pg_policy                | table       | postgres
 pg_catalog         | pg_proc                  | table       | postgres
 pg_catalog         | pg_publication           | table       | postgres
 pg_catalog         | pg_publication_namespace | table       | postgres
 pg_catalog         | pg_publication_rel       | table       | postgres
 pg_catalog         | pg_range                 | table       | postgres
 pg_catalog         | pg_replication_origin    | table       | postgres
 pg_catalog         | pg_rewrite               | table       | postgres
 pg_catalog         | pg_seclabel              | table       | postgres
 pg_catalog         | pg_sequence              | table       | postgres
 pg_catalog         | pg_shdepend              | table       | postgres
 pg_catalog         | pg_shdescription         | table       | postgres
 pg_catalog         | pg_shseclabel            | table       | postgres
 pg_catalog         | pg_statistic             | table       | postgres
 pg_catalog         | pg_statistic_ext         | table       | postgres
 pg_catalog         | pg_statistic_ext_data    | table       | postgres
 pg_catalog         | pg_subscription          | table       | postgres
 pg_catalog         | pg_subscription_rel      | table       | postgres
 pg_catalog         | pg_tablespace            | table       | postgres
 pg_catalog         | pg_transform             | table       | postgres
 pg_catalog         | pg_trigger               | table       | postgres
 pg_catalog         | pg_ts_config             | table       | postgres
 pg_catalog         | pg_ts_config_map         | table       | postgres
 pg_catalog         | pg_ts_dict               | table       | postgres
 pg_catalog         | pg_ts_parser             | table       | postgres
 pg_catalog         | pg_ts_template           | table       | postgres
 pg_catalog         | pg_type                  | table       | postgres
 pg_catalog         | pg_user_mapping          | table       | postgres
 pg_toast           | pg_toast_1213            | TOAST table | postgres
 pg_toast           | pg_toast_1247            | TOAST table | postgres
 pg_toast           | pg_toast_1255            | TOAST table | postgres
 pg_toast           | pg_toast_1260            | TOAST table | postgres
 pg_toast           | pg_toast_1262            | TOAST table | postgres
 pg_toast           | pg_toast_13370           | TOAST table | postgres
 pg_toast           | pg_toast_13375           | TOAST table | postgres
 pg_toast           | pg_toast_13380           | TOAST table | postgres
 pg_toast           | pg_toast_13385           | TOAST table | postgres
 pg_toast           | pg_toast_1417            | TOAST table | postgres
 pg_toast           | pg_toast_1418            | TOAST table | postgres
 pg_toast           | pg_toast_16394           | TOAST table | postgres
 pg_toast           | pg_toast_16402           | TOAST table | postgres
 pg_toast           | pg_toast_16419           | TOAST table | postgres
 pg_toast           | pg_toast_16430           | TOAST table | postgres
 pg_toast           | pg_toast_16438           | TOAST table | postgres
 pg_toast           | pg_toast_16446           | TOAST table | postgres
 pg_toast           | pg_toast_16454           | TOAST table | postgres
 pg_toast           | pg_toast_16459           | TOAST table | postgres
 pg_toast           | pg_toast_16473           | TOAST table | postgres
 pg_toast           | pg_toast_16478           | TOAST table | postgres
 pg_toast           | pg_toast_16483           | TOAST table | postgres
 pg_toast           | pg_toast_16488           | TOAST table | postgres
 pg_toast           | pg_toast_16493           | TOAST table | postgres
 pg_toast           | pg_toast_16498           | TOAST table | postgres
 pg_toast           | pg_toast_16521           | TOAST table | postgres
 pg_toast           | pg_toast_16526           | TOAST table | postgres
 pg_toast           | pg_toast_16531           | TOAST table | postgres
 pg_toast           | pg_toast_16542           | TOAST table | postgres
 pg_toast           | pg_toast_16547           | TOAST table | postgres
 pg_toast           | pg_toast_16552           | TOAST table | postgres
 pg_toast           | pg_toast_16557           | TOAST table | postgres
 pg_toast           | pg_toast_16562           | TOAST table | postgres
 pg_toast           | pg_toast_16570           | TOAST table | postgres
 pg_toast           | pg_toast_16575           | TOAST table | postgres
 pg_toast           | pg_toast_16580           | TOAST table | postgres
 pg_toast           | pg_toast_16585           | TOAST table | postgres
 pg_toast           | pg_toast_16590           | TOAST table | postgres
 pg_toast           | pg_toast_16595           | TOAST table | postgres
 pg_toast           | pg_toast_16600           | TOAST table | postgres
 pg_toast           | pg_toast_16605           | TOAST table | postgres
 pg_toast           | pg_toast_16613           | TOAST table | postgres
 pg_toast           | pg_toast_16618           | TOAST table | postgres
 pg_toast           | pg_toast_16623           | TOAST table | postgres
 pg_toast           | pg_toast_16628           | TOAST table | postgres
 pg_toast           | pg_toast_16639           | TOAST table | postgres
 pg_toast           | pg_toast_16644           | TOAST table | postgres
 pg_toast           | pg_toast_16649           | TOAST table | postgres
 pg_toast           | pg_toast_2328            | TOAST table | postgres
 pg_toast           | pg_toast_2396            | TOAST table | postgres
 pg_toast           | pg_toast_2600            | TOAST table | postgres
 pg_toast           | pg_toast_2604            | TOAST table | postgres
 pg_toast           | pg_toast_2606            | TOAST table | postgres
 pg_toast           | pg_toast_2609            | TOAST table | postgres
 pg_toast           | pg_toast_2612            | TOAST table | postgres
 pg_toast           | pg_toast_2615            | TOAST table | postgres
 pg_toast           | pg_toast_2618            | TOAST table | postgres
 pg_toast           | pg_toast_2619            | TOAST table | postgres
 pg_toast           | pg_toast_2620            | TOAST table | postgres
 pg_toast           | pg_toast_2964            | TOAST table | postgres
 pg_toast           | pg_toast_3079            | TOAST table | postgres
 pg_toast           | pg_toast_3118            | TOAST table | postgres
 pg_toast           | pg_toast_3256            | TOAST table | postgres
 pg_toast           | pg_toast_3350            | TOAST table | postgres
 pg_toast           | pg_toast_3381            | TOAST table | postgres
 pg_toast           | pg_toast_3394            | TOAST table | postgres
 pg_toast           | pg_toast_3429            | TOAST table | postgres
 pg_toast           | pg_toast_3456            | TOAST table | postgres
 pg_toast           | pg_toast_3466            | TOAST table | postgres
 pg_toast           | pg_toast_3592            | TOAST table | postgres
 pg_toast           | pg_toast_3596            | TOAST table | postgres
 pg_toast           | pg_toast_3600            | TOAST table | postgres
